MishearID,EnvID
tsuuwahyou_wikipedia_001,WIRELESS_PHONE
tsuuwahyou_wikipedia_001,COMMUNICATION_ENVIRONMENT
tsuuwahyou_wikipedia_001,NOISY
tsuuwahyou_wikipedia_001,NARROW_BANDWIDTH
tsuuwahyou_wikipedia_002,WIRELESS_PHONE
tsuuwahyou_wikipedia_002,COMMUNICATION_ENVIRONMENT
tsuuwahyou_wikipedia_002,NOISY
tsuuwahyou_wikipedia_002,NARROW_BANDWIDTH
tsuuwahyou_wikipedia_003,WIRELESS_PHONE
tsuuwahyou_wikipedia_003,COMMUNICATION_ENVIRONMENT
tsuuwahyou_wikipedia_003,NOISY
tsuuwahyou_wikipedia_003,NARROW_BANDWIDTH
tsuuwahyou_wikipedia_004,WIRELESS_PHONE
tsuuwahyou_wikipedia_004,COMMUNICATION_ENVIRONMENT
tsuuwahyou_wikipedia_004,NOISY
tsuuwahyou_wikipedia_004,NARROW_BANDWIDTH
tsuuwahyou_wikipedia_005,WIRELESS_PHONE
tsuuwahyou_wikipedia_005,COMMUNICATION_ENVIRONMENT
tsuuwahyou_wikipedia_005,NOISY
tsuuwahyou_wikipedia_005,NARROW_BANDWIDTH
